group_name,dfes_substation,match_type,suggestion,licence
BANGOR HOSP T1 / BANGOR UNIVERSITY T1 / EITHINOG T1 / HIRAEL T1,BANGOR HOSP T1 / BANGOR UNIVERSITY T1 / EITHINOG T1 / HIRAEL T1,exact_spm,,SPM
BARBAULD ST T1 / HORROCKS LA T1 / WARRINGTON CENTRAL T1,BARBAULD ST T1 / HORROCKS LA T1 / WARRINGTON CENTRAL T1,exact_spm,,SPM
BARMOUTH T1,BARMOUTH T1,exact_spm,,SPM
BARNSTON T1 / GAYTON T1 / IRBY T1 / THINGWALL T1,BARNSTON T1 / GAYTON T1 / IRBY T1 / THINGWALL T1,exact_spm,,SPM
BASCHURCH T1,BASCHURCH T1,exact_spm,,SPM
BASS CHARRINGTON T1 / BASS CHARRINGTON T2 / CLIFTON T1 / YKK T1,BASS CHARRINGTON T1 / BASS CHARRINGTON T2 / CLIFTON T1 / YKK T1,exact_spm,,SPM
BATTERSBY LA T1 / RYLANDS ELDON ST T2,BATTERSBY LA T1 / RYLANDS ELDON ST T2,exact_spm,,SPM
BEAUMARIS T1 / BEAUMARIS T2,BEAUMARIS T1 / BEAUMARIS T2,exact_spm,,SPM
BEAUMONT ST T1 / DINGLE VALE T1 / LARK LA T1 / MDHB BRUNSWICK DOCK T1,BEAUMONT ST T1 / DINGLE VALE T1 / LARK LA T1 / MDHB BRUNSWICK DOCK T1,exact_spm,,SPM
BEDBURN DV T1 / BLUEBELL LA T1 / BROOKBRIDGE T1 / ECCLESTON T1,BEDBURN DV T1 / BLUEBELL LA T1 / BROOKBRIDGE T1 / ECCLESTON T1 / IND EST EARLSFIELD T1,fuzzy_spm,,SPM
BEECH ST T1 / LISTER DV B T2,BEECH ST T1 / LISTER DV A T2,fuzzy_spm,,SPM
BEMROSE T1 / CARR LA EAST T1 / LUCAS (FAZAKERLEY) T1 / NORRIS GREEN T1 / WEST DERBY T1,BEMROSE T1 / CARR LA EAST T1 / LUCAS (FAZAKERLEY) T1 / NORRIS GREEN T1 / WEST DERBY T1,exact_spm,,SPM
BENTINCK ST T1 / BENTINCK ST T2 / CHESTER ST (BIRKENHEAD) T1,BENTINCK ST T1 / BENTINCK ST T2 / CHESTER ST T1,fuzzy_spm,,SPM
