group_name,dfes_substation,licence
DOLGELLAU T1,DOLGELLAU T1,SPM
DUCKINGTON T1 / DUCKINGTON T2,DUCKINGTON T1 / DUCKINGTON T2,SPM
DUDDON T1,DUDDON T1,SPM
DUTTON GT2 / MOORE GT1 / PERCIVAL LA GT1,DUTTON GT2 / MOORE GT1 / PERCIVAL LA GT1,SPM
DYFFRYN ARDUDWY T1,DYFFRYN ARDUDWY T1,SPM
DYSERTH RD T1 / FFORDD LAS T1 / FFORDD LAS T2 / WESTBOURNE AVE T1,DYSERTH RD T1 / FFORDD LAS T1 / FFORDD LAS T2 / WESTBOURNE AVE T1,SPM
Dalbeattie,DALBEATTIE,SPD
Dalgety,DALGETY,SPD
Dalmarnock,DALMARNOCK,SPD
Dalrymple Drive,DALRYMPLE DRIVE,SPD
Darvel,DARVEL,SPD
David Street,DAVID STREET,SPD
Deans,DEANS,SPD
Deans Close,DEANS CLOSE,SPD
Dedridge,DEDRIDGE,SPD
Denholm,DENHOLM,SPD
Denmark Street,DENMARK STREET,SPD
Devol Moor,DEVOL MOOR,SPD
Devonside,DEVONSIDE,SPD
Dewar Place,DEWAR PLACE,SPD
Dollar,DOLLAR,SPD
Douglas West,DOUGLAS WEST,SPD
Drumchapel,DRUMCHAPEL,SPD
Drumchapel Road,DRUMCHAPEL ROAD,SPD
Drumcross,DRUMCROSS,SPD
Drumley,DRUMLEY,SPD
Dumbarton,DUMBARTON,SPD
Dumfries,DUMFRIES,SPD
Dumfries GSP,DUMFRIES,SPD
Dunbar A,DUNBAR A,SPD
Dunbar B GSP,DUNBAR B,SPD
Dundas Street,DUNDAS STREET,SPD
Dundyvan,DUNDYVAN,SPD
Dunfermline,DUNFERMLINE,SPD
Duns,DUNS,SPD
Dunscore,DUNSCORE,SPD
Durie House,DURIE HOUSE,SPD
EDEN VALE T1,EDEN VALE T1,SPM
EDERN T1,EDERN T1,SPM
EDGE HILL T1 / LIVERPOOL UNIVERSITY T1 / LIVERPOOL UNIVERSITY T2 / LIVERPOOL UNIVERSITY T3,EDGE HILL T1 / LIVERPOOL UNIVERSITY T1 / LIVERPOOL UNIVERSITY T2 / LIVERPOOL UNIVERSITY T3,SPM
EDGE LA (TAPLEY PLACE) T1 / LISTER DV B T3 / MILL LA (WAVERTREE) T1 / PLESSEY (EDGE LA) T1 / STONEYCROFT T1,EDGE LA (TAPLEY PLACE) T1 / LISTER DV B T3 / MILL LA (WAVERTREE) T1 / PLESSEY (EDGE LA) T1 / STONEYCROFT T1,SPM
EGA ELECTRIC T1,EGA ELECTRIC T1,SPM
EGERTON T1 / ROCK FERRY T1 / SHELL TRANMERE T1,EGERTON T1 / ROCK FERRY T1 / SHELL TRANMERE T1,SPM
EGREMONT T1 / LISCARD T1 / POULTON T1 / STONE MANGANESE T1,EGREMONT T1 / LISCARD T1 / POULTON T1 / STONE MANGANESE T1,SPM
ELLESMERE PORT GT2 / INCE LOCAL GT1 / INCE LOCAL GT2,,
ELLESMERE T1 / MMB ELLESMERE T1,ELLESMERE T1 / MMB ELLESMERE T1,SPM
ELTON T1,ELTON T1,SPM
ELWORTH GT1 / ELWORTH GT2 / KNUTSFORD GT1 / KNUTSFORD GT2,ELWORTH GT1 / ELWORTH GT2 / KNUTSFORD GT1 / KNUTSFORD GT2,SPM
ENGINEER PK T1 / PILKINGTONS QUEENSFERRY T1 / QUEENSFERRY T1,ENGINEER PK T1 / PILKINGTONS QUEENSFERRY T1 / QUEENSFERRY T1,SPM
ESTUARY COMMERCE PK T1 / LEEWARD DR T1 / LEEWARD DR T2 / SPEKE HALL RD T1 / SPEKE SKY PK T1,ESTUARY COMMERCE PK T1 / LEEWARD DR T1 / LEEWARD DR T2 / SPEKE HALL RD T1 / SPEKE SKY PK T1,SPM
EVERTON BROW T1 / GARDNERS ROW T1 / SHEIL PK T1,EVERTON BROW T1 / GARDNERS ROW T1 / SHEIL PK T1,SPM
EXPRESS FOODS T1,EXPRESS FOODS T1,SPM
Earls Road,EARLS ROAD,SPD
Earlston,RALSTON,SPD
East Kilbride,EAST KILBRIDE,SPD
East Kilbride South,EAST KILBRIDE SOUTH,SPD
East Linton,EAST LINTON,SPD
East Mains,EAST MAINS,SPD
East Trinity Road,EAST TRINITY ROAD,SPD
Easter Road,EASTER ROAD,SPD
Eastercraigs,EASTERCRAIGS,SPD
Easterhouse,EASTERHOUSE,SPD
Eccles,ECCLES,SPD
Eckford Street,ECKFORD STREET,SPD
Elderslie,ELDERSLIE,SPD
Elizabeth Street,ELIZABETH STREET,SPD
Elliot Street,ELLIOT STREET,SPD
Erskine,ERSKINE,SPD
Erskine GSP,ERSKINE,SPD
Eyemouth,EYEMOUTH,SPD
FAIRBOURNE T1,FAIRBOURNE T1,SPM
FAZAKERLEY HOSPITAL T1 / JACOBS T1 / JACOBS T2 / SEEDS LA T1,FAZAKERLEY HOSPITAL T1 / JACOBS T1 / JACOBS T2 / SEEDS LA T1,SPM
FERODO T1,FERODO T1,SPM
FISONS T1,FISONS T1,SPM
FLINT T1 / FLINT T2,FLINT T1 / FLINT T2,SPM
FODENS T1,FODENS T1,SPM
FORD T1 / OXTON T1 / PRENTON LOCAL T1 / SINGLETON AVE T2,FORD T1 / OXTON T1 / PRENTON LOCAL T1 / SINGLETON AVE T2,SPM
FORDEN T1,FORDEN T1,SPM
FORMBY GT2B / SOUTHPORT GT1 / SOUTHPORT GT2,FORMBY GT2B / SOUTHPORT GT1 / SOUTHPORT GT2,SPM
FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,SPM
FOUR CROSSES T1,FOUR CROSSES T1,SPM
FRODSHAM,,
FRODSHAM LOCAL T1,FRODSHAM LOCAL T1,SPM
Fairlie,FAIRLIE,SPD
Falkirk,FALKIRK,SPD
Fauldhead,FAULDHEAD,SPD
Finnieston,FINNIESTON,SPD
Finnock Bog,FINNOCK BOG,SPD
Firhill Road,FIRHILL ROAD,SPD
Flemington Street,FLEMINGTON STREET,SPD
Forgan,FORGAN,SPD
Forth,FORTH,SPD
Forth Street,FORTH STREET,SPD
Foxbar,FOXBAR,SPD
Frankfield,FRANKFIELD,SPD
Frogston Road East,FROGSTON ROAD EAST,SPD
GADBROOK T1,GADBROOK T1,SPM
GAERWEN VIEW T1,GAERWEN VIEW T1,SPM
GARSTON GT2 / SPEKE GT3 / WAVERTREE GT1A,GARSTON GT2 / SPEKE GT3 / WAVERTREE GT1A,SPM
GATEACRE GT1 / HUYTON GT1 / KIRKBY GT3 / PRESCOT GT1A,GATEACRE GT1 / HUYTON GT1 / KIRKBY GT3 / PRESCOT GT1A,SPM
GIGG LA THELWALL T1 / HILLCLIFFE T1 / STOCKTON HEATH T1 / STRETTON IND EST T1,GIGG LA THELWALL T1 / HILLCLIFFE T1 / STOCKTON HEATH T1 / STRETTON IND EST T1,SPM
GILBROOK DOCK T1 / HILL RD T1 / MOBIL OIL (WALLASEY) T1,GILBROOK DOCK T1 / HILL RD T1 / MOBIL OIL (WALLASEY) T1,SPM
GILLMOSS GT1 / KIRKBY GT2 / SIMONSWOOD GT1,GILLMOSS GT1 / KIRKBY GT2 / SIMONSWOOD GT1,SPM
GLAN-YR-AFON T1,GLAN-YR-AFON T1,SPM
GRAIG FAWR T1,,
GRAVEL T1 / WCB PLASTICS T1 / WHARTON T1,GRAVEL T1 / WCB PLASTICS T1 / WHARTON T1,SPM
GREASBY T1 / SAUGHALL MASSIE T1 / UPTON T1,GREASBY T1 / SAUGHALL MASSIE T1 / UPTON T1,SPM
GREAT SANKEY T1 / PENKETH T1 / WIDNES RD T1,GREAT SANKEY T1 / PENKETH T1 / WIDNES RD T1,SPM
GREAT SUTTON T1 / LITTLE SUTTON T1 / STRAWBERRY ROUNDABOUT T1 / SUTTON HALL WWB T1 / WHITBY MAIN T2,GREAT SUTTON T1 / LITTLE SUTTON T1 / STRAWBERRY ROUNDABOUT T1 / SUTTON HALL WWB T1 / WHITBY MAIN T2,SPM
GREENFIELD T1 / GREENFIELD T2,GREENFIELD T1 / GREENFIELD T2,SPM
GROSVENOR ST T1 / LINENHALL ST T1 / NORTHGATE TERRACE T1 / STATION VIEW T1 / TOMULAR PLACE T1,GROSVENOR ST T1 / LINENHALL ST T1 / NORTHGATE TERRACE T1 / STATION VIEW T1 / TOMULAR PLACE T1,SPM
GWERSYLLT T1,GWERSYLLT T1,SPM
Galashiels,GALASHIELS,SPD
Garelochead,GARELOCHHEAD,SPD
Gartarry,GARTARRY,SPD
Gartsherrie,GARTSHERRIE,SPD
Gatehouse,GATEHOUSE,SPD
Gauze Road,GAUZE ROAD,SPD
George Square Lane,GEORGE SQUARE LANE,SPD
Giffnock,GIFFNOCK,SPD
Girthill,GIRTHILL,SPD
Girvan,GIRVAN,SPD
Glenburn,GLENBURN,SPD
Glendinning,,
Glengall,GLENGALL,SPD
Glenluce,GLENLUCE,SPD
Glenniston,GLENNISTON,SPD
Glenrothes,GLENROTHES,SPD
Glenwood,GLENWOOD,SPD
Gordon,GORDON,SPD
Gorgie,GORGIE,SPD
Gorgie GSP,GORGIE,SPD
Govan,GOVAN,SPD
Grangemouth A,GRANGEMOUTH,SPD
Grangemouth C,GRANGEMOUTH,SPD
Grant Street,GRANT STREET,SPD
Granton Park Avenue,GRANTON PARK AVENUE,SPD
Grassyards,GRASSYARDS,SPD
Greenfaulds,GREENFAULDS,SPD
Greenlaw,GREENLAW,SPD
Gretna,GRETNA,SPD
Gylemuir,GYLEMUIR,SPD
HALEWOOD G1B / HALEWOOD G2B / HALEWOOD GT3 / SPEKE GT1A,HALEWOOD G1B / HALEWOOD G2B / HALEWOOD GT3 / SPEKE GT1A,SPM
HALTON RD T1 / MURDISHAW T1 / PERCIVAL LA T4 / RUNCORN CENTRAL T1,HALTON RD T1 / MURDISHAW T1 / PERCIVAL LA T4 / RUNCORN CENTRAL T1,SPM
HARLECH T1,HARLECH T1,SPM
HARRINGTON ST T1 / PARADISE ST T1,HARRINGTON ST T1 / PARADISE ST T1,SPM
HARRINGTON ST T2 / HIGHFIELD ST T1,HARRINGTON ST T2 / HIGHFIELD ST T1,SPM
HARRINGTON ST T3 / LIME ST T1,HARRINGTON ST T3 / LIME ST T1,SPM
HARTFORD GT1 / LOSTOCK GT2 / WINSFORD GT1 / WINSFORD GT2,HARTFORD GT1 / LOSTOCK GT2 / WINSFORD GT1 / WINSFORD GT2,SPM
HARTFORD T1,HARTFORD T1,SPM
HASKAYNE T1,HASKAYNE T1,SPM
HATHERTON T1,HATHERTON T1,SPM
HERONS WAY T1 / LACHE T1 / MBNA T1 / SMFS KINGSMEADOW T1,HERONS WAY T1 / LACHE T1 / MBNA T1 / SMFS KINGSMEADOW T1,SPM
HESWALL GT1 / HOYLAKE GT2 / PRENTON GT3,HESWALL GT1 / HOYLAKE GT2 / PRENTON GRID GT3,SPM
HIGHFIELD ST T2 / LIME ST T2 / OLD HAYMARKET T1,HIGHFIELD ST T2 / LIME ST T2 / OLD HAYMARKET T1,SPM
HOLMES CHAPEL T1,HOLMES CHAPEL T1,SPM
HOLT LA (WARRINGTON RD) T1 / PRESCOT T1 / RAINHILL LOCAL T1 / WHISTON HOSP T1,HOLT LA (WARRINGTON RD) T1 / PRESCOT T1 / RAINHILL LOCAL T1 / WHISTON HOSP T1,SPM
HOLWAY RD T1,HOLWAY RD T1,SPM
HOLYHEAD T1,HOLYHEAD T1,SPM
HOLYWELL GT2 / RHYL GT1 / ST ASAPH GT2 / ST ASAPH GT4,HOLYWELL GT1 / RHYL GT1 / ST ASAPH GT2 / ST ASAPH GT4,SPM
HOLYWELL T1,HOLYWELL T1,SPM
HOOTON MAIN T1,HOOTON MAIN T1,SPM
HUNTS CROSS T1 / KENTON RD T1 / WOODEND AVE T1 / WOOLTON T1,HUNTS CROSS T1 / KENTON RD T1 / WOODEND AVE T1 / WOOLTON T1,SPM
HUYTON HEY RD T1 / WILSON RD T1,HUYTON HEY RD T1 / WILSON RD T1,SPM
Haggs Rd,HAGGS ROAD,SPD
Haggs Road,HAGGS ROAD,SPD
Hamilton,HAMILTON,SPD
Hawick,HAWICK,SPD
Heathfield,HEATHFIELD,SPD
Heathhall,HEATHHALL,SPD
Hecla Avenue,HECLA AVENUE,SPD
Helen Street,HELEN STREET,SPD
Helensburgh,HELENSBURGH,SPD
Henderson Row,HENDERSON ROW,SPD
High Blantyre,HIGH BLANTYRE,SPD
High Mains Milton,HIGH MAINS MILTON,SPD
Horncliffe,HORNCLIFFE,SPD
Hunter,HUNTER,SPD
Hunter Street,HUNTER STREET,SPD
IFTON T1 / IFTON T2,IFTON T1 / IFTON T2,SPM
ILFORDS T1 / KNUTSFORD T1 / MOBBERLEY T1 / RADBROKE HALL T1,ILFORDS T1 / KNUTSFORD T1 / MOBBERLEY T1 / RADBROKE HALL T1,SPM
INCE,,
IVY ST (SOUTHPORT) T1 / KENSINGTON RD T1 / MARKET ST T1 / SOUTHPORT T1,IVY ST (SOUTHPORT) T1 / KENSINGTON RD T1 / MARKET ST T1 / SOUTHPORT T1,SPM
IVY ST T1 / LLYSFAEN RD T1 / OLD MILL T1,IVY ST T1 / LLYSFAEN RD T1 / OLD MILL T1,SPM
Innerleithen,,
Inverkeithing,INVERKEITHING,SPD
Inverkip Road,INVERKIP ROAD,SPD
Irvine,IRVINE,SPD
JOHNSTOWN T1,JOHNSTOWN T1,SPM
Jackton,JACKTON,SPD
Johnstone,JOHNSTONE,SPD
Johnstone GSP,JOHNSTONE,SPD
KELCO T1 / NEWS INTERNATIONAL T1 / NEWS INTERNATIONAL T2 / PALCO T1 / SOUTHDENE T1,KELCO T1 / NEWS INTERNATIONAL T1 / NEWS INTERNATIONAL T2 / PALCO T1 / SOUTHDENE T1 / AINSWORTH LANE T1,SPM
KINGSLAND 33 T1 / SAFEWAY T1 / WOOLSTON T1 / WOOLSTON T2,KINGSLAND 33 T1 / SAFEWAY T1 / WOOLSTON T1 / WOOLSTON T2,SPM
KINNERTON T1,KINNERTON T1,SPM
KIRKBY,KIRKBY,SPM
KIRKBY CENTRAL T1 / NORTHWOOD T1 / TOWER HILL (BANK LA) T1 / WESTVALE T1,KIRKBY CENTRAL T1 / NORTHWOOD T1 / TOWER HILL (BANK LA) T1 / WESTVALE T1,SPM
KNOWSLEY T1 / MARLED HEY T1,KNOWSLEY T1 / MARLED HEY T1,SPM
KNUTSFORD T2,KNUTSFORD T2,SPM
Kaimes,KAIMES,SPD
Kelliebank,KELLIEBANK,SPD
Kelty,KELTY,SPD
Kelvin,KELVIN,SPD
Kelvinside,KELVINSIDE,SPD
Kennishead Avenue,KENNISHEAD AVENUE,SPD
Kilbirnie,KILBIRNIE,SPD
Kilbowie,KILBOWIE,SPD
Kildrum,KILDRUM,SPD
Killermont,KILLERMONT,SPD
Killoch Colliery,KILLOCH COLLIERY,SPD
Kilmacolm,KILMACOLM,SPD
Kilmardinny,KILMARDINNY,SPD
Kilmarnock Main,KILMARNOCK MAIN,SPD
Kilmarnock South,KILMARNOCK SOUTH,SPD
Kilmarnock Town,KILMARNOCK TOWN,SPD
Kilsyth,KILSYTH,SPD
Kilwinning,KILWINNING,SPD
Kings Buildings,KINGS BUILDINGS,SPD
Kings Inch Road,KINGS INCH ROAD,SPD
Kingsknowe Road North,KINGSKNOWE ROAD NORTH,SPD
Kingsland,KINGSLAND,SPD
Kirkbank,KIRKBANK,SPD
Kirkintilloch,KIRKINTILLOCH,SPD
Kirknewton,KIRKNEWTON,SPD
Kirkton,KIRKTON,SPD
LANARK,LANARK,SPD
LCWW HUNTINGTON T1 / LCWW HUNTINGTON T2,LCWW HUNTINGTON T1 / LCWW HUNTINGTON T2,SPM
LEA GREEN T1 / PILKINGTONS HO T1 / RAVENHEAD RETAIL PK T1 / SOMERFIELD DISTRIBUTION T1,PILKINGTONS HO T1 / RAVENHEAD RETAIL PK T1 / SOMERFIELD DISTRIBUTION T1,SPM
LEGACY,LEGACY,SPM
LEGACY LOCAL GT2 / NEWTOWN GT2 / OSWESTRY GT5 / OSWESTRY GT8 / WELSHPOOL GT1 / WHITCHURCH GT1,,
LEGACY LOCAL T1,LEGACY LOCAL T1,SPM
LEIGHTON HOSP T1,LEIGHTON HOSP T1,SPM
LISTER DRIVE,LISTER DRIVE,SPM
LISTER DV B GT3 / SPARLING ST GT1 / WAVERTREE GT2,LISTER DV B GT3 / SPARLING ST GT1 / WAVERTREE GT2,SPM
LITHERLAND GRID B / NORTH SEAFORTH,,
LIVERPOOL RD 33 T1,LIVERPOOL RD 33 T1,SPM
LLAINGOCH T1,LLAINGOCH T1,SPM
LLANARMON T1,LLANARMON T1,SPM
LLANBEDROG T1,LLANBEDROG T1,SPM
LLANBERIS T1,LLANBERIS T1,SPM
LLANDDEUSANT T1,LLANDDEUSANT T1,SPM
LLANDDU QUARRY T1,LLANDDU QUARRY T1,SPM
LLANDEGFAN T1,LLANDEGFAN T1,SPM
LLANDRINIO T1,LLANDRINIO T1,SPM
LLANDUDNO T1 / LLANDUDNO T2,LLANDUDNO T1 / LLANDUDNO T2,SPM
LLANDYFRYDOG T1,LLANDYFRYDOG T1,SPM
LLANDYRNOG T1,LLANDYRNOG T1,SPM
LLANFAELOG T1,LLANFAELOG T1,SPM
LLANFAIR CAEREINION T1,LLANFAIR CAEREINION T1,SPM
LLANFAIR PG T1,LLANFAIR PG T1,SPM
LLANFAIRFECHAN T1,LLANFAIRFECHAN T1,SPM
LLANFROTHEN T1,LLANFROTHEN T1,SPM
LLANFWROG T1 / RUTHIN T1,LLANFWROG T1 / RUTHIN T1,SPM
LLANFYLLIN T1 / LLANFYLLIN T2,LLANFYLLIN T1 / LLANFYLLIN T2,SPM
LLANGAFFO T1,LLANGAFFO T1,SPM
LLANGEFNI IND EST T1 / LLANGEFNI IND EST T2,LLANGEFNI IND EST T1 / LLANGEFNI IND EST T2,SPM
LLANGEFNI T1,LLANGEFNI T1,SPM
LLANGOLLEN T1 / LLANGOLLEN T2,LLANGOLLEN T1 / LLANGOLLEN T2,SPM
LLANIDLOES T1 / LLANIDLOES T2,LLANIDLOES T1 / LLANIDLOES T2,SPM
LLANILAR T1,LLANILAR T1,SPM
LLANRWST T1,LLANRWST T1,SPM
LLANSANNAN T1,LLANSANNAN T1,SPM
LLANSILIN T1,LLANSILIN T1,SPM
LLYNCLYS T1,LLYNCLYS T1,SPM
LORD ST T1 / MARSHSIDE T1 / MULLARDS BALMORAL DV T1 / SOUTHPORT T2,LORD ST T1 / MARSHSIDE T1 / MULLARDS BALMORAL DV T1 / SOUTHPORT T2,SPM
LOSTOCK T1,LOSTOCK T1,SPM
LOSTOCK TRIANGLE T1,LOSTOCK TRIANGLE T1,SPM
LOWER BEBINGTON T1 / NEW FERRY T1 / SPITAL T1 / UNILEVER RESEARCH T1,LOWER BEBINGTON T1 / NEW FERRY T1 / SPITAL T1 / UNILEVER RESEARCH T1,SPM
LUGSDALE T1 / PILK SULLIVAN T1 / PILK SULLIVAN T2 / USAC T1,LUGSDALE T1 / PILK SULLIVAN T1 / PILK SULLIVAN T2 / USAC T1,SPM
LYMM T1 / WHITELEGGS LA T1,LYMM T1 / WHITELEGGS LA T1,SPM
Lady Victoria,LADY VICTORIA,SPD
Langholm,LANGHOLM,SPD
Langlands Street,LANGLANDS STREET,SPD
Langside,LANGSIDE,SPD
Larbert,LARBERT,SPD
Largs,LARGS,SPD
Larkfield,LARKFIELD,SPD
Larkhall,,
Larkhall Town,LARKHALL TOWN,SPD
Lauder,LAUDER,SPD
Leonards Chapel,LEONARDS CHAPEL,SPD
Leslie Street,LESLIE STREET,SPD
Lesmahagow,LESMAHAGOW,SPD
Lethanhill,LETHANHILL,SPD
Leuchars,LEUCHARS,SPD
Leven,LEVEN,SPD
Leven GSP,LEVEN,SPD
Leven Street,LEVEN STREET,SPD
Levenbank,LEVENBANK,SPD
Linlithgow,LINLITHGOW,SPD
Linnmill,LINNMILL,SPD
Linthaugh Road,LINTHAUGH ROAD,SPD
Linthouse,LINTHOUSE,SPD
Linton Lane,LINTON LANE,SPD
Little France,LITTLE FRANCE,SPD
Livingston East,LIVINGSTON EAST,SPD
Loaning,LOANING,SPD
Loanstone,LOANSTONE,SPD
Lochend Quad,LOCHEND QUADRANT,SPD
Lochside,LOCHSIDE,SPD
Lochwinnoch,LOCHWINNOCH,SPD
Lockerbie,LOCKERBIE,SPD
Longannet,LONGANNET,SPD
Lower London Road,LOWER LONDON ROAD,SPD
Lugton,LUGTON,SPD
MACHYNLLETH T1,MACHYNLLETH T1,SPM
MACHYNLLETH T2,MACHYNLLETH T2,SPM
MAELOR CREAMERY T1,MAELOR CREAMERY T1,SPM
MAENTWROG T1,MAENTWROG T1,SPM
MAES-Y-CLAWDD T1,MAES-Y-CLAWDD T1,SPM
MANOD T1,MANOD T1,SPM
MANOR PK T1 / NORTON CHAINS T1,MANOR PK T1 / NORTON CHAINS T1,SPM
MDHB EGERTON DOCK T1 / MDHB EGERTON DOCK T2,MDHB EGERTON DOCK T1 / MDHB EGERTON DOCK T2,SPM
MERE T1,MERE T1,SPM
MIDDLEWICH T1,MIDDLEWICH T1,SPM
MIDPOINT POCHIN WAY T1,MIDPOINT POCHIN WAY T1,SPM
MILFORD T1,MILFORD T1,SPM
MINFFORDD T1 / PARC BRYN CEGIN T1 / PARC BRYN CEGIN T2,MINFFORDD T1 / PARC BRYN CEGIN T1 / PARC BRYN CEGIN T2,SPM
MOCHDRE T1,MOCHDRE T1,SPM
MONA T1,MONA T1,SPM
MONSANTO T1,MONSANTO T1,SPM
MORDA T1,MORDA T1,SPM
MORGANITE CERAMICS T1 / PLYMYARD T2,,
MORRISONS T1,MORRISONS T1,SPM
Manuel,MANUEL,SPD
Markethill,MARKETHILL,SPD
Martin Miller,MARTIN MILLER,SPD
Mauchline,MAUCHLINE,SPD
Maukinfauld Road,MAUKINFAULD ROAD,SPD
Maxwell Street,MAXWELL STREET,SPD
Maxwellton,MAXWELLTON,SPD
Maybole,MAYBOLE,SPD
Maybole GSP,MAYBOLE,SPD
Meadow Road,,
Menstrie,MENSTRIE,SPD
Methilhill,METHILHILL,SPD
Middlebie,MIDDLEBIE,SPD
Mill Street,MILL STREET,SPD
Milliken,MILLIKEN,SPD
Milton,MILTON,SPD
Mitchell Street,MITCHELL STREET,SPD
Moffat,MOFFAT,SPD
Monkton,MONKTON,SPD
Monktonhall,MONKTONHALL,SPD
Morebattle,MOREBATTLE,SPD
Mortonhall,MORTONHALL,SPD
Muckraw,MUCKRAW,SPD
Muirhouse,MUIRHOUSE,SPD
Muirhouse Bank,MUIRHOUSE BANK,SPD
Myothill,MYOTHILL,SPD
Myrtle Road,MYRTLE ROAD,SPD
NANT-Y-GAMAR T1,NANT-Y-GAMAR T1,SPM
NANTWICH T1,NANTWICH T1,SPM
NEVILL ST T1 / OCEAN PLAZA T1 / YORK RD T1,NEVILL ST T1 / OCEAN PLAZA T1 / YORK RD T1,SPM
NEW BRIGHTON T1 / SEAVIEW RD T2 / WALLASEY T1 / WALLASEY VILLAGE T1,NEW BRIGHTON T1 / SEAVIEW RD T2 / WALLASEY T1 / WALLASEY VILLAGE T1,SPM
NEWHALL T1 / NEWHALL T2,NEWHALL T1 / NEWHALL T2,SPM
NORTH WALES PAPER T1 / NORTH WALES PAPER T2 / WOODFIELD AVE T1,NORTH WALES PAPER T1 / NORTH WALES PAPER T2 / WOODFIELD AVE T1,SPM
Neilsland,NEILSLAND,SPD
Netherdale,NETHERDALE,SPD
Nethertown,NETHERTOWN,SPD
New Cumnock,NEW CUMNOCK,SPD
Newarthill,NEWARTHILL,SPD
Newbridge,NEWBRIDGE,SPD
Newburgh,NEWBURGH,SPD
Newcastleton,NEWCASTLETON,SPD
Newhouse,NEWHOUSE,SPD
Newlands,NEWLANDS,SPD
Newmilns,NEWMILNS,SPD
Newton Stewart,NEWTON STEWART,SPD
Newton Stewart GSP,NEWTON STEWART,SPD
Newton Street,NEWTON STREET,SPD
Niddrie,NIDDRIE,SPD
Norham,NORHAM,SPD
North Berwick,NORTH BERWICK,SPD
North Road,NORTH ROAD,SPD
OMEGA T1 / OMEGA T2 / ORION BOULEVARD T1 / NORTH WEST WATER CAMPUS T1 / NORTH WEST WATER CAMPUS T2,,
OPTICAL FIBRES T1 / SHOTWICK T1 / WALBRO T1,OPTICAL FIBRES T1 / SHOTWICK T1 / WALBRO T1,SPM
ORB CL T1 / STONEBRIDGE LA T1 / STONEBRIDGE LA T2,ORB CL T1 / STONEBRIDGE LA T1 / STONEBRIDGE LA T2,SPM
ORFORD T1 / PADGATE T1,ORFORD T1 / PADGATE T1,SPM
OTIS ELEVATOR T1 / ST IVEL FOODS T1,OTIS ELEVATOR T1 / ST IVEL FOODS T1,SPM
OVERTON T1,OVERTON T1,SPM
Oakfield,LARKFIELD,SPD
Ocean Drive,OCEAN DRIVE,SPD
Old Bridge Road,OLD BRIDGE ROAD,SPD
Old Dumbarton Road,OLD DUMBARTON ROAD,SPD
Old Inns,OLD INNS,SPD
Overtown,OVERTOWN,SPD
Oxgangs Road,OXGANGS ROAD,SPD
PALL MALL T1 / LITTLEWOODS T1,,
PANDY T1 / PANDY T2,PANDY T1 / PANDY T2,SPM
PARC CYBI T1 / PARC CYBI T2,PARC CYBI T1 / PARC CYBI T2,SPM
PARC MENAI T1,PARC MENAI T1,SPM
PEBLIC MILLS T1,PEBLIC MILLS T1,SPM
PEN-Y-GROES T1,PEN-Y-GROES T1,SPM
PENMAENMAWR T1,PENMAENMAWR T1,SPM
PENTIR / ST ASAPH,,
PENTRAETH T1,PENTRAETH T1,SPM
PILKINGTONS T1 / PILKINGTONS T2,PILKINGTONS T1 / PILKINGTONS T2,SPM
POINT OF AYR COLLIERY T1,POINT OF AYR COLLIERY T1,SPM
PORTHMADOG T1 / PORTHMADOG T2,PORTHMADOG T1 / PORTHMADOG T2,SPM
PREES T1,PREES T1,SPM
PRENTON GT1 / ROCK FERRY GT1,PRENTON GRID GT1 / ROCK FERRY GT1,SPM
PRIMROSE HALL T1,PRIMROSE HALL T1,SPM
PWLLHELI T1,PWLLHELI T1,SPM
Paddington Place T1 / Paddington Place T2,,
Paisley,PAISLEY,SPD
Park Road,PARK ROAD,SPD
Partick,PARTICK,SPD
Paulville,PAULVILLE,SPD
Pencaitland,PENCAITLAND,SPD
Penicuik,PENICUIK,SPD
Pennywell Road,PENNYWELL ROAD,SPD
Penpont,PENPONT,SPD
Peppercraigs,PEPPERCRAIGS,SPD
Petershill Road,PETERSHILL ROAD,SPD
Pilton Drive West,PILTON DRIVE WEST,SPD
Pinwherry,PINWHERRY,SPD
Pitreavie,PITREAVIE,SPD
Pitteuchar,PITTEUCHAR,SPD
Polkemmet,POLKEMMET,SPD
Polmont,POLMONT,SPD
Poltonhall,POLTONHALL,SPD
Port Dundas,PORT DUNDAS,SPD
Port Glasgow,PORT GLASGOW,SPD
Portobello A,PORTOBELLO,SPD
Portobello B,PORTOBELLO,SPD
Portobello C,PORTOBELLO,SPD
Portobello GSP,PORTOBELLO,SPD
Prestonpans,PRESTONPANS,SPD
Pyramid,PYRAMID,SPD
Queens Drive,QUEENS DRIVE,SPD
Queensway,QUEENSWAY,SPD
RADWAY GREEN T1,RADWAY GREEN T1,SPM
RAF VALLEY T1,,
RAINHILL,RAINHILL,SPM
RAVEN SQUARE T1,RAVEN SQUARE T1,SPM
RAVENHEAD G1A1 / ST HELENS GT1 / WINDLE GT1,RAVENHEAD G1A1 / ST HELENS GT2B / WINDLE GT1,SPM
REFORM ST T1,REFORM ST T1,SPM
RHM FOODS LTD T1,RHM FOODS LTD T1,SPM
RHOSLAN T1,RHOSLAN T1,SPM
RHUDDLAN T1,RHUDDLAN T1,SPM
