group_name,dfes_substation,licence
BEAUMONT ST T1 / DINGLE VALE T1 / LARK LA T1 / MDHB BRUNSWICK DOCK T1,BEAUMONT ST T1 / DINGLE VALE T1 / LARK LA T1 / MDHB BRUNSWICK DOCK T1,SPM
BEDBURN DV T1 / BLUEBELL LA T1 / BROOKBRIDGE T1 / ECCLESTON T1,BEDBURN DV T1 / BLUEBELL LA T1 / BROOKBRIDGE T1 / ECCLESTON T1 / IND EST EARLSFIELD T1,SPM
BEECH ST T1 / LISTER DV B T2,BEECH ST T1 / LISTER DV A T2,SPM
BEMROSE T1 / CARR LA EAST T1 / LUCAS (FAZAKERLEY) T1 / NORRIS GREEN T1 / WEST DERBY T1,BEMROSE T1 / CARR LA EAST T1 / LUCAS (FAZAKERLEY) T1 / NORRIS GREEN T1 / WEST DERBY T1,SPM
BENTINCK ST T1 / BENTINCK ST T2 / CHESTER ST (BIRKENHEAD) T1,BENTINCK ST T1 / BENTINCK ST T2 / CHESTER ST T1,SPM
BERSHAM COLLIERY T1,BERSHAM COLLIERY T1,SPM
BERSHAM RD T1 / IND COOPE T1 / RHYD BROUGHTON LA T1 / TUTTLE ST T1,BERSHAM RD T1 / IND COOPE T1 / RHYD BROUGHTON LA T1 / TUTTLE ST T1,SPM
BETHESDA T1,BETHESDA T1,SPM
BETWS-Y-COED T1,BETWS-Y-COED T1,SPM
BEWSEY T1 / OWEN ST T1 / RODNEY ST T1 / RYLANDS ELDON ST T1,BEWSEY T1 / OWEN ST T1 / RODNEY ST T1 / RYLANDS ELDON ST T1,SPM
BIBBYS T1 / INLAND REVENUE OFFICES T1 / REGENT RD T1,BIBBYS T1 / INLAND REVENUE OFFICES T1 / REGENT RD T1,SPM
BICC HELSBY T1 / BICC HELSBY T2 / MERES EDGE T1,,
BICC HUYTON QUARRY T1 / TARBOCK T1 / WHISTON T1,BICC HUYTON QUARRY T1 / TARBOCK T1 / WHISTON T1,SPM
BICC WREXHAM T1 / MARCHWIEL T1 / WIE CENTRAL T1,BICC WREXHAM T1 / MARCHWIEL T1 / WIE CENTRAL T1,SPM
BIRKENHEAD,BIRKENHEAD,SPM
BIRKENHEAD CENTRAL T1 / SINGLETON AVE T1 / TRANMERE T1,BIRKENHEAD CENTRAL T1 / SINGLETON AVE T1 / TRANMERE T1,SPM
BLACON T1 / COCOA BARRY T1 / CRANE BANK T1 / KNUTSFORD WAY T1 / TOWER WHARF T1,BLACON T1 / COCOA BARRY T1 / CRANE BANK T1 / KNUTSFORD WAY T1 / TOWER WHARF T1,SPM
BLAENAU FFESTINIOG T1,BLAENAU FFESTINIOG T1,SPM
BLAENAU PLASTICS T1 / BLAENAU PLASTICS T2,,
BLUNDELL ST T1 / ROPEWALKS T1 / ST JAMES T1,BLUNDELL ST T1 / ROPEWALKS T1 / ST JAMES T1,SPM
BLUNDELLSANDS (NORTH) T1 / BLUNDELLSANDS (SOUTH) T1 / CROSBY T1 / KERSHAW AVE T1 / WATERLOO T2,BLUNDELLSANDS (NORTH) T1 / BLUNDELLSANDS (SOUTH) T1 / CROSBY T1 / KERSHAW AVE T1 / WATERLOO T2,SPM
BODFARI PRODUCERS T1,BODFARI PRODUCERS T1,SPM
BOLD G4A / PRESCOT GT1B / WIDNES GT1 / WIDNES GT2,BOLD G4A / PRESCOT GT1B / WIDNES GT1 / WIDNES GT2,SPM
BOLD G4B / RAVENHEAD G1A2 / ST HELENS GT2,BOLD G4B / RAVENHEAD G1A2 / ST HELENS GT2A,SPM
BOLTON ST T1 / GREEK ST T1 / HPO COPPERAS HILL T1 / OLDHAM PLACE T1,BOLTON ST T1 / GREEK ST T1 / HPO COPPERAS HILL T1 / OLDHAM PLACE T1,SPM
BOOTLE GRID T1 / KELLOGGS T1 / PACIFIC RD T1 / WASHINGTON ST T1 / WATERLOO T1,BOOTLE GRID T1 / KELLOGGS T1 / PACIFIC RD T1 / WASHINGTON ST T1 / WATERLOO T1,SPM
BOOTLE GRID T2 / ORRELL MOUNT T1 / SCARISBRICK AVE T1 / TATTON RD T1,BOOTLE GRID T2 / ORRELL MOUNT T1 / SCARISBRICK AVE T1 / TATTON RD T1,SPM
BOOTLE GT1 / LITHERLAND GT1A,BOOTLE GT1 / LITHERLAND GT1A,SPM
BOOTLE GT2A / BURLINGTON ST GT1 / LISTER DV A GT2,BOOTLE GT2A / BURLINGTON ST GT1 / LISTER DV A GT2,SPM
BOTWNNOG T1,BOTWNNOG T1,SPM
BOULEVARD T1 / CHAPELFORD T1 / HAWLEYS LA T1 / WESTBROOK T1 / WINWICK QUAY T1,BOULEVARD T1 / CHAPELFORD T1 / HAWLEYS LA T1 / WESTBROOK T1 / WINWICK QUAY T1,SPM
BOW ST T1,BOW ST T1,SPM
BOWATER CONTAINERS T1 / ELLESMERE PORT LOCAL T1 / HH ROBERTSONS T1 / MOBIL OIL (E PORT) T1 / WHITBY MAIN T1,BOWATER CONTAINERS T1 / ELLESMERE PORT LOCAL T1 / HH ROBERTSONS T1 / MOBIL OIL (E PORT) T1 / WHITBY T1,SPM
BR STATION T1 / DUCHY RD T1 / ELECTRA WAY T1 / MIDLAND ROLLMAKERS T1A / NORTH WESTERN MILLS T1,BR STATION T1 / DUCHY RD T1 / ELECTRA WAY T1 / MIDLAND ROLLMAKERS T1A / NORTH WESTERN MILLS T1,SPM
BRAEHEAD PARK PRIMARY,,
BRD T1,BRD T1,SPM
BRITISH ALUMINIUM LATCHFORD T1 / GREENHALL WHITLEY T1 / LATCHFORD T1 / LATCHFORD T2 / THAMES BOARD MILL T1,BRITISH ALUMINIUM LATCHFORD T1 / GREENHALL WHITLEY T1 / LATCHFORD T1 / LATCHFORD T2,SPM
BRITISH OXYGEN T1 / WINDLEHURST T1,BRITISH OXYGEN T1 / WINDLEHURST T1,SPM
BRITISH PIPE ASSOCIATION T1,BRITISH PIPE ASSOCIATION T1,SPM
BRITISH SIDAC T1 / SHERDLEY RD T1 / ST HELENS LINKWAY T1 / WATERY LA T1,BRITISH SIDAC T1 / SHERDLEY RD T1 / ST HELENS LINKWAY T1 / WATERY LA T1,SPM
BROADGREEN T1 / CROXTETH T1 / EAST PRESCOT RD (FINCH LA) T1 / KNOTTY ASH T1 / LEYFIELD RD T1,BROADGREEN T1 / CROXTETH T1 / EAST PRESCOT RD (FINCH LA) T1 / KNOTTY ASH T1 / LEYFIELD RD T1,SPM
BROMBOROUGH GT2 / ELLESMERE PORT GT1 / HOOTON PK GT1A / HOOTON PK GT2A,BROMBOROUGH GT2 / ELLESMERE PORT GT1 / HOOTON PK GT1A / HOOTON PK GT2A,SPM
BROMBOROUGH GT3 / ROCK FERRY GT2,BROMBOROUGH GT3 / ROCK FERRY GT2,SPM
BROMFIELD T1 / BROMFIELD T2 / PONTERWYL T1 / RHYD-Y-GOLEU T1 / SYNTHITE T1,BROMFIELD T1 / BROMFIELD T2 / PONTERWYL T1 / RHYD-Y-GOLEU T1 / SYNTHITE T1,SPM
BROOK LA T1 / MANNINGS LA T1 / NEWTOWN CHESTER T1 / UPTON HEATH T1 / COUNTESS PARK T1,BROOK LA T1 / MANNINGS LA T1 / NEWTOWN CHESTER T1 / UPTON HEATH T1,SPM
BROOK ST T1 / KINGSWAY TUNNEL T1 / NWWA SANDON DOCK T1 / NWWA SANDON DOCK T2,BROOK ST T1 / KINGSWAY TUNNEL T1 / NWWA SANDON DOCK T1 / NWWA SANDON DOCK T2,SPM
BRYMBO GT1 / LEGACY LOCAL GT1 / MARCHWIEL GT1 / MARCHWIEL GT2 / WREXHAM GT1,BRYMBO GT1 / LEGACY LOCAL GT1 / MARCHWIEL GT1 / MARCHWIEL GT2 / WREXHAM GT1,SPM
BRYMBO GT2 / HAWARDEN GT2 / HOLYWELL GT1,BRYMBO GT2 / HAWARDEN GT2 / HOLYWELL GT2,SPM
BRYN STANLEY T1,,
BUCKINGHAM ST T1 / EVERTON RD T1 / SUBURBAN RD T1,BUCKINGHAM ST T1 / EVERTON RD T1 / SUBURBAN RD T1,SPM
BUCKLEY T1 / BUCKLEY T2 / BUCKLEY CROSS T1,BUCKLEY T1 / BUCKLEY T2 / BUCKLEY CROSS T1,SPM
BUILDWAS RD T1 / GEC MARCONI T1 / MORGAN REFRACTORIES T1 / NESTON MAIN T1,BUILDWAS RD T1 / MORGAN REFRACTORIES T1 / NESTON MAIN T1,SPM
BURLINGTON AVE T1 / FRESHFIELD T1 / MARSH BROWS T1 / SOUTHPORT RD T1,BURLINGTON AVE T1 / FRESHFIELD T1 / MARSH BROWS T1 / SOUTHPORT RD T1,SPM
BURLINGTON ST GT2 / LISTER DV B GT1 / PARADISE ST GT1,BURLINGTON ST GT2 / LISTER DV B GT1 / PARADISE ST GT1,SPM
BUTLINS T1 / BUTLINS T2,,
BUTTINGTON CROSS T1,BUTTINGTON CROSS T1,SPM
BXL BROMBOROUGH T1 / TULIP T1,BXL BROMBOROUGH T1 / TULIP T1,SPM
Baillieston,BAILLIESTON,SPD
Bainsford,BAINSFORD,SPD
Baker Street,BAKER STREET,SPD
Balgreen,BALGREEN,SPD
Balloch,BALLOCH,SPD
Balmore,BALMORE,SPD
Barnton Grove,BARNTON GROVE,SPD
Barnton Quarry,BARNTON QUARRY,SPD
Barrhead,BARRHEAD,SPD
Barrhill,BARRHILL,SPD
Barterholm,BARTERHOLM,SPD
Bathgate,BATHGATE,SPD
Belhaven Forth,BELHAVEN FORTH,SPD
Belhaven West,BELHAVEN WEST,SPD
Bellshill,,
Berryhill Road,BERRYHILL ROAD,SPD
Berwick,BERWICK,SPD
Biggar & Symington,,
Birrell Street Wynd,BIRRELL STREET WYND,SPD
Bishop,BISHOP,SPD
Bishopbriggs,BISHOPBRIGGS,SPD
Blackburn,BLACKBURN,SPD
Blackhall Package,BLACKHALL PACKAGE,SPD
Bo'ness Kinneil,BONESS KINNEIL,SPD
Bonnington Road,BONNINGTON ROAD,SPD
Bonnybridge,BONNYBRIDGE,SPD
Boundary Street,BOUNDARY STREET,SPD
Bowhill,BOWHILL,SPD
Braidwood,BRAIDWOOD,SPD
Broxburn,BROXBURN,SPD
Broxburn GSP,BROXBURN,SPD
Burghlee,BURGHLEE,SPD
Burnbank,BURNBANK,SPD
Burnfield,BURNFIELD,SPD
Burnside,BURNSIDE,SPD
Burntisland,BURNTISLAND,SPD
Bush Estate,BUSH ESTATE,SPD
Byrehill,BYREHILL,SPD
Byres Road,BYRES ROAD,SPD
CABLE ST T1 / GRADWELL ST T2 / OLDHAM PLACE T2,CABLE ST T1 / GRADWELL ST T2 / OLDHAM PLACE T2,SPM
CABLE ST T2 / CROWN COURTS T1 / GRADWELL ST T1,CABLE ST T2 / CROWN COURTS T1 / GRADWELL ST T1,SPM
CADBURYS KRONOSPAN T1 / CADBURYS KRONOSPAN T2,CADBURYS KRONOSPAN T1 / CADBURYS KRONOSPAN T2,SPM
CADBURYS T1 / CADBURYS T2 / HOPFIELD RD T1,CADBURYS T1 / CADBURYS T2 / HOPFIELD RD T1,SPM
CAERGEILIOG T1,CAERGEILIOG T1,SPM
CAERGWRLE T1,CAERGWRLE T1,SPM
CAERNARFON T1,CAERNARFON T1,SPM
CAERSWS T1,CAERSWS T1,SPM
CALDY T1 / HOYLAKE T1 / MEOLS T1 / WEST KIRBY SOUTH T1,CALDY T1 / HOYLAKE T1 / MEOLS T1 / WEST KIRBY SOUTH T1,SPM
CALEDONIA BUS DEPOT,CALEDONIA BUS DEPOT,SPD
CAMMELL LAIRD NORTH T1 / CAMMELL LAIRD SOUTH T1 / CAMMELL LAIRD SOUTH T2,,
CAPENHURST,CAPENHURST,SPM
CARBORUNDUM T1 / HOUGHTONS LA T1 / RAINFORD T1 / WINDLEHURST T2,CARBORUNDUM T1 / HOUGHTONS LA T1 / RAINFORD T1 / WINDLEHURST T2,SPM
CARLTON ST T1 / CARLTON ST T2 / CHALON WAY T2,CARLTON ST T1 / CARLTON ST T2 / CHALON WAY T2,SPM
CARMEL T1,CARMEL T1,SPM
CARRINGTON / FIDDLERS FERRY,CARRINGTON - FIDDLERS FERRY,SPM
CASTLE BEESTON ST T1 / HARTFORD T2 / LEICESTER ST T1 / NORTHWICH TOWN T1 / WINNINGTON T1,CASTLE BEESTON ST T1 / HARTFORD T2 / LEICESTER ST T1 / NORTHWICH TOWN T1 / WINNINGTON T1,SPM
CASTLE CEMENT GT1 / HAWARDEN GT1 / SALTNEY GT1 / SALTNEY G2B,CASTLE CEMENT GT1 / HAWARDEN GT1 / SALTNEY GT1 / SALTNEY G2B,SPM
CEFN MAWR T1,CEFN MAWR T1,SPM
CELLARHEAD,CELLARHEAD,SPM
CEMAES BAY T1,CEMAES BAY T1,SPM
CEMMAES RD T1,CEMMAES RD T1,SPM
CEREAL PARTNERS T1 / LEVER GEORGIA AVE T1 / POOL LA T1 / UML LEVER BROMBOROUGH T2,CEREAL PARTNERS T1 / LEVER GEORGIA AVE T1 / POOL LA T1 / UML LEVER BROMBOROUGH T2,SPM
CHALON WAY T1 / TECHNOLOGY CAMPUS T1 / WOODVILLE ST T1,CHALON WAY T1 / TECHNOLOGY CAMPUS T1 / WOODVILLE ST T1,SPM
CHESHIRE GREEN T1 / NWF T1,CHESHIRE GREEN T1 / NWF T1,SPM
CHESTER GATES T1 / UNILEVER DUNKIRK T1,CHESTER GATES T1 / UNILEVER DUNKIRK T1,SPM
CHESTER MAIN GT4 / CRANE BANK GT1 / GUILDEN SUTTON GT1 / SALTNEY G2A,CHESTER MAIN GT4 / CRANE BANK GT1 / GUILDEN SUTTON GT1 / SALTNEY G2A,SPM
CHESTER ST (WREXHAM) T1 / EAGLES MEADOW T1 / RHOSNESNI T1 / WHITEGATE T1,CHESTER ST (WREXHAM) T1 / EAGLES MEADOW T1 / RHOSNESNI T1 / WHITEGATE T1,SPM
CHILDWALL T1 / CHILDWALL FIVEWAYS T1 / LYNDENE RD T1 / MIDDLEMASS HEY T1 / NAYLORS RD T1,CHILDWALL T1 / CHILDWALL FIVEWAYS T1 / LYNDENE RD T1 / MIDDLEMASS HEY T1 / NAYLORS RD T1,SPM
CHOWLEY T1 / CHOWLEY T2,CHOWLEY T1 / CHOWLEY T2,SPM
CHURCH LA T1 / NANT HALL T1 / PRESTATYN T1,CHURCH LA T1 / NANT HALL T1 / PRESTATYN T1,SPM
CHURCH LAWTON T1,CHURCH LAWTON T1,SPM
CHURCH ST WINSFORD T1 / OVER T1 / WHARTON PK T1 / WOODFORD PK T1,CHURCH ST WINSFORD T1 / OVER T1 / WHARTON PK T1 / WOODFORD PK T1,SPM
CIVIC CENTRE T1 / CLAUGHTON AVE T1 / ELECTRICITY ST T1,,
CLEDFORD T1,CLEDFORD T1,SPM
CLOCKFACE T1 / GEC ST HELENS T1 / HILLS MOSS T1 / NCB SUTTON MANOR T2,CLOCKFACE T1 / GEC ST HELENS T1 / HILLS MOSS T1 / NCB SUTTON MANOR T2,SPM
CLUBMOOR T1 / DUNLOPS WALTON T1 / WALTON T1,CLUBMOOR T1 / DUNLOPS WALTON T1 / WALTON T2,SPM
CLUBMOOR T2 / LISTER DV A T1 / SUBURBAN RD T2,CLUBMOOR T2 / LISTER DV A T1 / SUBURBAN RD T2,SPM
COEDPOETH T1 / COEDPOETH T2,COEDPOETH T1 / COEDPOETH T2,SPM
COLWYN BAY GT1 / COLWYN BAY GT2 / DOLGARROG GT2,COLWYN BAY GT1 / COLWYN BAY GT2 / DOLGARROG GT2,SPM
COLWYN BAY T1 / COLWYN BAY T2 / RHOS-ON-SEA T1,COLWYN BAY T1 / COLWYN BAY T2 / RHOS-ON-SEA T1,SPM
CONEY GREEN T1 / OSWESTRY T2 / OSWESTRY T1,CONEY GREEN T1 / OSWESTRY T2 / OSWESTRY T1,SPM
CONIX T1 / CONIX T2 / MEDEVA T1,CONIX T1 / CONIX T2 / MEDEVA T1,SPM
CONNAHS QUAY LOCAL T1 / CONNAHS QUAY LOCAL T2 / HAWARDEN T1 / KING GEORGE ST T1,CONNAHS QUAY LOCAL T1 / CONNAHS QUAY LOCAL T2 / HAWARDEN T1 / KING GEORGE ST T1,SPM
CONNAHS QUAY T1 / T2,,
CONWY T1 / DEGANWY T1 / LLANDUDNO JUNCTION T1,CONWY T1 / DEGANWY T1 / LLANDUDNO JUNCTION T1,SPM
COPPENHALL GT1 / CREWE GT4A,,
CORWEN T1,CORWEN T1,SPM
CREWE GT1 / CREWE GT2A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,SPM
CREWE T1,CREWE T1,SPM
CRIGGION RADIO STATION T1,CRIGGION RADIO STATION T1,SPM
CROSSFIELDS T1 / CROSSFIELDS T2 / LEVERS CROSSFIELDS T3 / GATEWARTH SEWAGE T1,CROSSFIELDS T1 / CROSSFIELDS T2 / LEVERS CROSSFIELDS T3 / GATEWARTH SEWAGE T1,SPM
CROWTON T1,CROWTON T1,SPM
CWM DYLI T1,CWM DYLI T1,SPM
Caddlehill,CADDLEHILL,SPD
Calais 1,CALAIS 1,SPD
Calais 2,CALAIS 2,SPD
Callendar,CALLENDAR,SPD
Cambuslang,CAMBUSLANG,SPD
Camelon,CAMELON,SPD
Cameron,CAMERON,SPD
Cardonald,CARDONALD,SPD
Carfin,CARFIN,SPD
Cargenbridge,CARGENBRIDGE,SPD
Carmunnock Road,CARMUNNOCK ROAD,SPD
Carntyne,CARNTYNE,SPD
Carron,CARRON,SPD
Carrutherstown,CARRUTHERSTOWN,SPD
Castlandhill,CASTLANDHILL,SPD
Castle,CASTLE,SPD
Castle Douglas,CASTLE DOUGLAS,SPD
Castlemilk,CASTLEMILK,SPD
Chapel,CHAPEL,SPD
Chapelcross,CHAPELCROSS,SPD
Chapelhall,CHAPELHALL,SPD
Charles Street,CHARLES STREET,SPD
Charlotte St,CHARLOTTE STREET,SPD
Chirnside,CHIRNSIDE,SPD
Clark Way,CLARK WAY,SPD
Clarkston,CLARKSTON,SPD
Cluny Road,CLUNY ROAD,SPD
Clydebank Business Park,CLYDEBANK BUSINESS PARK,SPD
Coatbridge,COATBRIDGE,SPD
Coats Street,COATS STREET,SPD
Cockenzie,COCKENZIE,SPD
Coddington Crescent,CODDINGTON CRES,SPD
Coldstream,COLDSTREAM,SPD
Colinsburgh,COLINSBURGH,SPD
Colinton North,COLINTON NORTH,SPD
College Milton,COLLEGE MILTON,SPD
Collydene,COLLYDENE,SPD
Colquhoun Street,COLQUHOUN STREET,SPD
Commercial Road,COMMERCIAL ROAD,SPD
Common Farm,COMMON FARM,SPD
Condorrat,CONDORRAT,SPD
